# Time           	totalLift        	frontLift        	rearLift         	drag             	side             	Xmoment          	Ymoment          	Zmoment          
47	-7.0276995497e-01	-2.4730772303e-01	-4.5546223194e-01	1.4797422023e-01	0.0000000000e+00	-8.5236446931e-01	2.6019313613e-01	-1.7947262374e-01
48	-6.9545499755e-01	-2.4440716456e-01	-4.5104783299e-01	1.4772044986e-01	0.0000000000e+00	-8.4349241985e-01	2.5830083554e-01	-1.7916483475e-01
49	-6.8873471275e-01	-2.4170461662e-01	-4.4703009613e-01	1.4756775825e-01	0.0000000000e+00	-8.3534162748e-01	2.5665684939e-01	-1.7897964058e-01
50	-6.8179492893e-01	-2.3899371307e-01	-4.4280121587e-01	1.4718920661e-01	0.0000000000e+00	-8.2692461263e-01	2.5475937850e-01	-1.7852050887e-01
51	-6.7468107128e-01	-2.3627323947e-01	-4.3840783180e-01	1.4663818346e-01	0.0000000000e+00	-8.1829646985e-01	2.5266824041e-01	-1.7785219266e-01
52	-6.6764851843e-01	-2.3360899755e-01	-4.3403952088e-01	1.4606101323e-01	0.0000000000e+00	-8.0976693877e-01	2.5053815416e-01	-1.7715216359e-01
53	-6.6088239171e-01	-2.3105597995e-01	-4.2982641176e-01	1.4554102882e-01	0.0000000000e+00	-8.0156054638e-01	2.4846303976e-01	-1.7652149315e-01
54	-6.5429017646e-01	-2.2857042533e-01	-4.2571975112e-01	1.4501595637e-01	0.0000000000e+00	-7.9356508497e-01	2.4643665724e-01	-1.7588465162e-01
55	-6.4759695926e-01	-2.2611071152e-01	-4.2148624774e-01	1.4427761225e-01	0.0000000000e+00	-7.8544712193e-01	2.4421942028e-01	-1.7498914051e-01
56	-6.4136719807e-01	-2.2381733318e-01	-4.1754986488e-01	1.4362375696e-01	0.0000000000e+00	-7.7789126804e-01	2.4216566463e-01	-1.7419610289e-01
57	-6.3507968213e-01	-2.2157359894e-01	-4.1350608320e-01	1.4280964606e-01	0.0000000000e+00	-7.7026536551e-01	2.3991560532e-01	-1.7320869698e-01
58	-6.2875923147e-01	-2.1937925898e-01	-4.0937997250e-01	1.4181594485e-01	0.0000000000e+00	-7.6259951762e-01	2.3750089190e-01	-1.7200347242e-01
