# Time           	totalLift        	frontLift        	rearLift         	drag             	side             	Xmoment          	Ymoment          	Zmoment          
59	9.0911476090e-02	7.9273538681e-02	1.1637937409e-02	1.3094253880e-01	7.9521498287e-19	1.1792366737e-01	8.4544501590e-02	-1.6984901196e-01
60	9.2111059381e-02	7.9563903145e-02	1.2547156236e-02	1.3171488096e-01	7.9351766927e-19	1.1947967842e-01	8.3770933636e-02	-1.7085083730e-01
61	9.2939729057e-02	7.9594363830e-02	1.3345365227e-02	1.3250858915e-01	7.9277673853e-19	1.2055456766e-01	8.2811248253e-02	-1.7188037708e-01
62	9.3714677319e-02	7.9596495984e-02	1.4118181335e-02	1.3330267273e-01	7.9130987365e-19	1.2155977343e-01	8.1847893311e-02	-1.7291040377e-01
63	9.4224471983e-02	7.9663512892e-02	1.4560959090e-02	1.3391789720e-01	7.9164136605e-19	1.2222104150e-01	8.1378192252e-02	-1.7370842763e-01
64	9.3894105563e-02	7.9436098476e-02	1.4458007087e-02	1.3414933101e-01	7.9144133668e-19	1.2179251453e-01	8.1222614236e-02	-1.7400862651e-01
65	9.2773556966e-02	7.8907045956e-02	1.3866511010e-02	1.3408532039e-01	7.9306398946e-19	1.2033902146e-01	8.1300668683e-02	-1.7392559665e-01
66	9.3197571359e-02	7.8917961658e-02	1.4279609701e-02	1.3454508463e-01	7.9410005942e-19	1.2088902169e-01	8.0797939947e-02	-1.7452196894e-01
67	9.3261354318e-02	7.8762362926e-02	1.4498991392e-02	1.3506124881e-01	7.9757314938e-19	1.2097175624e-01	8.0329214417e-02	-1.7519149908e-01
68	9.2020629935e-02	7.8213736312e-02	1.3806893623e-02	1.3506059803e-01	7.9584654851e-19	1.1936238000e-01	8.0508553362e-02	-1.7519065494e-01
69	9.1657273330e-02	7.7879992913e-02	1.3777280417e-02	1.3522220934e-01	7.9525970297e-19	1.1889106059e-01	8.0128390620e-02	-1.7540028522e-01
70	9.1689924737e-02	7.7704809123e-02	1.3985115614e-02	1.3546392512e-01	7.9406630593e-19	1.1893341359e-01	7.9649616887e-02	-1.7571382111e-01
71	9.2235029053e-02	7.7826812035e-02	1.4408217018e-02	1.3587746515e-01	7.9418504239e-19	1.1964048274e-01	7.9273243771e-02	-1.7625023476e-01
72	9.2008133621e-02	7.7655466558e-02	1.4352667063e-02	1.3596963815e-01	7.9346500173e-19	1.1934617071e-01	7.9128499368e-02	-1.7636979479e-01
73	9.1768795521e-02	7.7354399653e-02	1.4414395869e-02	1.3615995068e-01	7.9312624234e-19	1.1903571896e-01	7.8675004730e-02	-1.7661665418e-01
74	9.1093388678e-02	7.6876079631e-02	1.4217309046e-02	1.3617094866e-01	7.9182268910e-19	1.1815963098e-01	7.8323463232e-02	-1.7663091995e-01
75	8.9395196752e-02	7.6112286759e-02	1.3282909993e-02	1.3574861158e-01	7.8916308685e-19	1.1595686155e-01	7.8536720957e-02	-1.7608309540e-01
76	8.8362259883e-02	7.5511782899e-02	1.2850476984e-02	1.3545902602e-01	7.8777938023e-19	1.1461701196e-01	7.8326632394e-02	-1.7570746636e-01
77	8.7665684205e-02	7.5012752512e-02	1.2652931693e-02	1.3538083141e-01	7.8836186069e-19	1.1371346533e-01	7.7949776024e-02	-1.7560603808e-01
78	8.7170141321e-02	7.4630359635e-02	1.2539781686e-02	1.3530690832e-01	7.8825337698e-19	1.1307068362e-01	7.7613222436e-02	-1.7551015049e-01
79	8.6223361168e-02	7.4125943749e-02	1.2097417418e-02	1.3501950246e-01	7.8924621136e-19	1.1184259017e-01	7.7535657914e-02	-1.7513734878e-01
80	8.5494256610e-02	7.3652555079e-02	1.1841701531e-02	1.3469957630e-01	7.8909655254e-19	1.1089684947e-01	7.7263566935e-02	-1.7472236415e-01
81	8.5237485177e-02	7.3333678761e-02	1.1903806417e-02	1.3454309656e-01	7.8868971900e-19	1.1056378449e-01	7.6787340430e-02	-1.7451939017e-01
82	8.4306913312e-02	7.2793134490e-02	1.1513778822e-02	1.3411002081e-01	7.8800166115e-19	1.0935671524e-01	7.6599194585e-02	-1.7395763622e-01
83	8.3278922511e-02	7.2230677716e-02	1.1048244795e-02	1.3360004695e-01	7.8802362167e-19	1.0802328132e-01	7.6478041151e-02	-1.7329613570e-01
84	8.2695035213e-02	7.1848661584e-02	1.0846373629e-02	1.3312509221e-01	7.8705405837e-19	1.0726590575e-01	7.6252859945e-02	-1.7268005941e-01
85	8.3009511427e-02	7.1737355685e-02	1.1272155742e-02	1.3308062266e-01	7.8685423298e-19	1.0767382112e-01	7.5581499929e-02	-1.7262237679e-01
86	8.2701686915e-02	7.1427611124e-02	1.1274075790e-02	1.3284788337e-01	7.8643858543e-19	1.0727453385e-01	7.5191919167e-02	-1.7232048454e-01
87	8.2676251906e-02	7.1152986825e-02	1.1523265081e-02	1.3272125815e-01	7.8631240882e-19	1.0724154143e-01	7.4537152180e-02	-1.7215623564e-01
88	8.2722983568e-02	7.0899025870e-02	1.1823957698e-02	1.3256602671e-01	7.8559231180e-19	1.0730215830e-01	7.3843835215e-02	-1.7195488085e-01
89	8.2767073482e-02	7.0667441921e-02	1.2099631561e-02	1.3243798295e-01	7.8583350284e-19	1.0735934848e-01	7.3209762951e-02	-1.7178879192e-01
90	8.2330533634e-02	7.0283667861e-02	1.2046865774e-02	1.3212346359e-01	7.8462502182e-19	1.0679310116e-01	7.2796002609e-02	-1.7138082058e-01
91	8.2723623484e-02	7.0179366145e-02	1.2544257339e-02	1.3210720018e-01	7.8086833711e-19	1.0730298835e-01	7.2043886006e-02	-1.7135972488e-01
92	8.2909651218e-02	6.9987406150e-02	1.2922245068e-02	1.3202386778e-01	7.7810311184e-19	1.0754428982e-01	7.1331451353e-02	-1.7125163224e-01
93	8.3083841444e-02	6.9791381971e-02	1.3292459473e-02	1.3199327239e-01	7.7689269068e-19	1.0777023654e-01	7.0623653122e-02	-1.7121194615e-01
94	8.3517435638e-02	6.9652637585e-02	1.3864798053e-02	1.3201112887e-01	7.7489813865e-19	1.0833266298e-01	6.9734799414e-02	-1.7123510826e-01
95	8.4301507276e-02	6.9694187770e-02	1.4607319506e-02	1.3212475245e-01	7.7404217230e-19	1.0934970293e-01	6.8858585331e-02	-1.7138249240e-01
96	8.4579327211e-02	6.9605292723e-02	1.4974034488e-02	1.3203158279e-01	7.7349284825e-19	1.0971007047e-01	6.8289072793e-02	-1.7126163957e-01
97	8.5187409569e-02	6.9544532160e-02	1.5642877409e-02	1.3202188953e-01	7.7273217974e-19	1.1049883010e-01	6.7377068439e-02	-1.7124906620e-01
98	8.5870191748e-02	6.9533426107e-02	1.6336765640e-02	1.3203003714e-01	7.7189977635e-19	1.1138448482e-01	6.6495825583e-02	-1.7125963467e-01
99	8.5847421299e-02	6.9292542210e-02	1.6554879089e-02	1.3177952762e-01	7.7191264907e-19	1.1135494868e-01	6.5922078902e-02	-1.7093469218e-01
100	8.6464869647e-02	6.9251979207e-02	1.7212890440e-02	1.3172531945e-01	7.7096615208e-19	1.1215585717e-01	6.5048860958e-02	-1.7086437734e-01
101	8.7306987826e-02	6.9265286836e-02	1.8041700990e-02	1.3179018104e-01	7.7059088468e-19	1.1324819082e-01	6.4029482308e-02	-1.7094851102e-01
102	8.8092527137e-02	6.9255955712e-02	1.8836571424e-02	1.3179548109e-01	7.6987815911e-19	1.1426713452e-01	6.3024230360e-02	-1.7095538585e-01
103	8.9202733108e-02	6.9390685890e-02	1.9812047218e-02	1.3188238500e-01	7.6958553912e-19	1.1570721190e-01	6.1973298340e-02	-1.7106811120e-01
104	8.9561529772e-02	6.9227326349e-02	2.0334203423e-02	1.3170370334e-01	7.6901166491e-19	1.1617261649e-01	6.1116403658e-02	-1.7083633852e-01
105	9.0129093911e-02	6.9149095776e-02	2.0979998134e-02	1.3160182324e-01	7.6888541655e-19	1.1690881886e-01	6.0211372053e-02	-1.7070418715e-01
106	9.1970664448e-02	6.9568613678e-02	2.2402050769e-02	1.3194150007e-01	7.6813585269e-19	1.1929756846e-01	5.8958203636e-02	-1.7114479091e-01
107	9.2916534707e-02	6.9593347569e-02	2.3323187138e-02	1.3195454648e-01	7.6797996700e-19	1.2052448165e-01	5.7837700538e-02	-1.7116171376e-01
108	9.2725350065e-02	6.9250630426e-02	2.3474719639e-02	1.3158119401e-01	7.6800370625e-19	1.2027649103e-01	5.7219888483e-02	-1.7067742844e-01
109	9.3800311992e-02	6.9377154236e-02	2.4423157756e-02	1.3158161057e-01	7.6769112184e-19	1.2167085242e-01	5.6192495601e-02	-1.7067796878e-01
110	9.5136765789e-02	6.9575034354e-02	2.5561731436e-02	1.3168024814e-01	7.6714992622e-19	1.2340440180e-01	5.5016628648e-02	-1.7080591416e-01
111	9.5914055079e-02	6.9540295134e-02	2.6373759945e-02	1.3153141789e-01	7.6700183404e-19	1.2441264419e-01	5.3958168986e-02	-1.7061286253e-01
112	9.6737822825e-02	6.9500925454e-02	2.7236897371e-02	1.3133091617e-01	7.5224381699e-19	1.2548117500e-01	5.2830035103e-02	-1.7035278647e-01
113	9.7399999877e-02	6.9454151795e-02	2.7945848083e-02	1.3107695888e-01	7.4961523827e-19	1.2634010228e-01	5.1885379640e-02	-1.7002337179e-01
114	9.9051176834e-02	6.9732757499e-02	2.9318419335e-02	1.3111478153e-01	7.3938072798e-19	1.2848188735e-01	5.0517922705e-02	-1.7007243254e-01
115	1.0032581352e-01	6.9872197756e-02	3.0453615769e-02	1.3099830972e-01	7.3261210527e-19	1.3013525214e-01	4.9273227484e-02	-1.6992135390e-01
116	1.0096286200e-01	6.9798759421e-02	3.1164102583e-02	1.3065680123e-01	7.3238381810e-19	1.3096158448e-01	4.8293321048e-02	-1.6947837425e-01
117	1.0165717310e-01	6.9690578791e-02	3.1966594305e-02	1.3028131838e-01	7.2284469520e-19	1.3186219366e-01	4.7154980607e-02	-1.6899132557e-01
