# y+ ()          
# Time           	patch            	min              	max              	average          
40               	Top	1.0048523577e+01	8.5009620604e+01	5.4382560054e+01
40               	e423_0	2.3898999669e-01	1.3899632792e+02	4.7839610033e+00
41               	Bottom	4.8331678898e+00	8.1786514526e+01	5.0983133824e+01
41               	Top	4.9159753789e+00	8.6071501253e+01	5.4515785458e+01
41               	e423_0	2.2261885135e-01	1.3879167597e+02	4.7645333486e+00
42               	Bottom	5.2936490652e+00	8.2762793808e+01	5.0980108283e+01
42               	Top	7.4413808804e+00	8.7100390854e+01	5.4803201173e+01
42               	e423_0	7.1690879859e-02	1.3858407647e+02	4.7314269761e+00
43               	Bottom	5.9131254590e+00	8.3712503091e+01	5.0927661720e+01
43               	Top	1.1316460273e+01	8.8094638901e+01	5.5089351463e+01
43               	e423_0	1.4355850576e-01	1.3837341088e+02	4.7213326115e+00
44               	Bottom	2.2075216913e+00	8.4634349321e+01	5.0800398954e+01
44               	Top	1.2478581182e+01	8.9057309993e+01	5.5312226201e+01
44               	e423_0	1.1646440343e-01	1.3815924098e+02	4.6965503029e+00
45               	Bottom	6.6487295157e+00	8.5529877796e+01	5.1022390384e+01
45               	Top	9.6295183464e+00	8.9992459229e+01	5.5495634300e+01
45               	e423_0	2.8461044414e-01	1.3794108511e+02	4.6884428454e+00
46               	Bottom	6.9187223212e+00	8.6399221639e+01	5.1190472016e+01
46               	Top	6.1810125111e+00	9.0902065315e+01	5.5644409538e+01
46               	e423_0	1.0280283550e-01	1.3771909432e+02	4.6685800423e+00
47               	Bottom	7.1929696670e+00	8.7243323458e+01	5.1356704233e+01
47               	Top	2.7302351917e+00	9.1789914597e+01	5.5783587267e+01
47               	e423_0	1.3699502953e-01	1.3749313400e+02	4.6556590287e+00
48               	Bottom	7.4475999810e+00	8.8063474557e+01	5.1527047467e+01
48               	Top	6.7660849120e+00	9.2656774899e+01	5.6103641968e+01
48               	e423_0	3.6135262214e-01	1.3726342941e+02	4.6396372819e+00
49               	Bottom	6.2676597754e+00	8.8860226052e+01	5.1685308503e+01
49               	Top	8.8539683493e+00	9.3504170585e+01	5.6371373222e+01
49               	e423_0	6.4679287992e-02	1.3702879734e+02	4.6259952589e+00
50               	Bottom	2.9676856722e+00	8.9635681775e+01	5.1853441884e+01
50               	Top	1.0219125013e+01	9.4333301973e+01	5.6622567063e+01
50               	e423_0	3.4803288143e-01	1.3678980281e+02	4.6061924009e+00
51               	Bottom	7.0753549358e+00	9.0392745185e+01	5.2220359072e+01
51               	Top	1.1178275564e+01	9.5146698690e+01	5.6873546461e+01
51               	e423_0	3.1436484850e-01	1.3654622908e+02	4.5918702130e+00
52               	Bottom	8.1406667545e+00	9.1133822351e+01	5.2552872035e+01
52               	Top	1.1304492260e+01	9.5944107010e+01	5.7134935426e+01
52               	e423_0	1.6924163911e-01	1.3629896993e+02	4.5709359348e+00
53               	Bottom	8.3010351614e+00	9.1860784736e+01	5.2878298253e+01
53               	Top	1.0400256566e+01	9.6726504048e+01	5.7412023576e+01
53               	e423_0	3.9337901438e-01	1.3604800081e+02	4.5537669357e+00
54               	Bottom	8.4692904746e+00	9.2574410707e+01	5.3198597515e+01
54               	Top	9.5159410568e+00	9.7495912250e+01	5.7705115973e+01
54               	e423_0	5.9952808499e-02	1.3579368355e+02	4.5233589461e+00
55               	Bottom	8.6358735011e+00	9.3275647468e+01	5.3510030912e+01
55               	Top	8.6241864362e+00	9.8253848959e+01	5.8012510416e+01
55               	e423_0	1.8696695350e-01	1.3553632739e+02	4.5052914552e+00
56               	Bottom	7.4207591895e+00	9.3965615399e+01	5.3804390379e+01
56               	Top	7.7425709074e+00	9.8999331457e+01	5.8333854244e+01
56               	e423_0	3.8877975813e-01	1.3527636803e+02	4.4810835041e+00
