# Time           	flap1            	mainPlane        
137	( 2.5130293730e-03 1.7247503237e-03 -1.5284153004e-02 )	( 1.2788865505e-02 1.5874850839e-03 -2.4626577114e-02 )	
138	( 2.5096850722e-03 1.7217517961e-03 -1.5261796421e-02 )	( 1.2808527245e-02 1.5852683060e-03 -2.4647707967e-02 )	
139	( 2.5064915815e-03 1.7188023127e-03 -1.5240147608e-02 )	( 1.2827460020e-02 1.5829649594e-03 -2.4666775969e-02 )	
140	( 2.5035959620e-03 1.7158391302e-03 -1.5219841070e-02 )	( 1.2845133974e-02 1.5802331685e-03 -2.4682326316e-02 )	
141	( 2.5011307427e-03 1.7130196600e-03 -1.5201672738e-02 )	( 1.2860969774e-02 1.5771001054e-03 -2.4692638754e-02 )	
142	( 2.4978364944e-03 1.7101009049e-03 -1.5179773138e-02 )	( 1.2881714097e-02 1.5758146167e-03 -2.4719260047e-02 )	
143	( 2.4934849998e-03 1.7070794033e-03 -1.5153009192e-02 )	( 1.2908243520e-02 1.5765270920e-03 -2.4763252710e-02 )	
144	( 2.4891306496e-03 1.7040700981e-03 -1.5126364443e-02 )	( 1.2935413818e-02 1.5773223958e-03 -2.4808982590e-02 )	
145	( 2.4848499632e-03 1.7011267289e-03 -1.5100150069e-02 )	( 1.2962180926e-02 1.5779633909e-03 -2.4852854208e-02 )	
146	( 2.4808239656e-03 1.6982231325e-03 -1.5075229863e-02 )	( 1.2988241206e-02 1.5782342223e-03 -2.4894330292e-02 )	
147	( 2.4770041403e-03 1.6954380227e-03 -1.5051438292e-02 )	( 1.3013634700e-02 1.5783709895e-03 -2.4933613514e-02 )	
148	( 2.4733224684e-03 1.6926624259e-03 -1.5028370113e-02 )	( 1.3038760243e-02 1.5782928617e-03 -2.4971946908e-02 )	
149	( 2.4697083396e-03 1.6899920453e-03 -1.5005805294e-02 )	( 1.3063873860e-02 1.5782679143e-03 -2.5009936683e-02 )	
150	( 2.4661921665e-03 1.6873510333e-03 -1.4983835892e-02 )	( 1.3089240180e-02 1.5782018705e-03 -2.5048526550e-02 )	
151	( 2.4627555183e-03 1.6848299021e-03 -1.4962453817e-02 )	( 1.3114736731e-02 1.5782356504e-03 -2.5087235210e-02 )	
152	( 2.4595083136e-03 1.6823611336e-03 -1.4942116900e-02 )	( 1.3140106260e-02 1.5780751331e-03 -2.5125313039e-02 )	
153	( 2.4563566606e-03 1.6800167563e-03 -1.4922448759e-02 )	( 1.3165513429e-02 1.5779692423e-03 -2.5163197326e-02 )	
154	( 2.4534139013e-03 1.6777043078e-03 -1.4903865497e-02 )	( 1.3190684746e-02 1.5776433944e-03 -2.5200141693e-02 )	
155	( 2.4505539971e-03 1.6755111336e-03 -1.4885883953e-02 )	( 1.3216065387e-02 1.5774018336e-03 -2.5237247574e-02 )	
156	( 2.4478724222e-03 1.6733588331e-03 -1.4868876215e-02 )	( 1.3241412846e-02 1.5770030780e-03 -2.5274053741e-02 )	
157	( 2.4453525366e-03 1.6713347533e-03 -1.4852834012e-02 )	( 1.3266603026e-02 1.5765789710e-03 -2.5309945782e-02 )	
158	( 2.4430531527e-03 1.6693534446e-03 -1.4837950871e-02 )	( 1.3291669145e-02 1.5759261887e-03 -2.5345071062e-02 )	
159	( 2.4409021808e-03 1.6674980531e-03 -1.4823968065e-02 )	( 1.3316833626e-02 1.5753279729e-03 -2.5380073706e-02 )	
160	( 2.4390061180e-03 1.6656932023e-03 -1.4811305384e-02 )	( 1.3341725647e-02 1.5744594553e-03 -2.5413946406e-02 )	
161	( 2.4372612438e-03 1.6640433704e-03 -1.4799618987e-02 )	( 1.3367031584e-02 1.5737175762e-03 -2.5448536090e-02 )	
162	( 2.4358755711e-03 1.6624756838e-03 -1.4789773850e-02 )	( 1.3391718232e-02 1.5725723702e-03 -2.5480921655e-02 )	
163	( 2.4346685903e-03 1.6610561578e-03 -1.4781001716e-02 )	( 1.3416684878e-02 1.5715378440e-03 -2.5513739056e-02 )	
164	( 2.4337637390e-03 1.6597359869e-03 -1.4773864977e-02 )	( 1.3441581151e-02 1.5702344735e-03 -2.5545871123e-02 )	
165	( 2.4331674796e-03 1.6586149040e-03 -1.4768476960e-02 )	( 1.3466373263e-02 1.5689030523e-03 -2.5577282288e-02 )	
166	( 2.4328687960e-03 1.6576129210e-03 -1.4764740202e-02 )	( 1.3491415192e-02 1.5674933223e-03 -2.5609319616e-02 )	
167	( 2.4328164466e-03 1.6568270249e-03 -1.4762517538e-02 )	( 1.3516736817e-02 1.5661708503e-03 -2.5641810214e-02 )	
168	( 2.4331838624e-03 1.6562036717e-03 -1.4762571626e-02 )	( 1.3542057293e-02 1.5646620301e-03 -2.5674119297e-02 )	
169	( 2.4336450961e-03 1.6558067777e-03 -1.4763498897e-02 )	( 1.3568682158e-02 1.5636385626e-03 -2.5710272739e-02 )	
170	( 2.4343761012e-03 1.6555678349e-03 -1.4766034768e-02 )	( 1.3596124260e-02 1.5627275023e-03 -2.5748857872e-02 )	
171	( 2.4352838403e-03 1.6556124087e-03 -1.4769932227e-02 )	( 1.3624584148e-02 1.5621968764e-03 -2.5790478964e-02 )	
172	( 2.4363661049e-03 1.6558855653e-03 -1.4775195601e-02 )	( 1.3654393111e-02 1.5619563558e-03 -2.5836326652e-02 )	
173	( 2.4375409998e-03 1.6564492395e-03 -1.4781471100e-02 )	( 1.3685702664e-02 1.5622923908e-03 -2.5886869657e-02 )	
174	( 2.4387341009e-03 1.6571285777e-03 -1.4788185285e-02 )	( 1.3718374494e-02 1.5629454683e-03 -2.5941687752e-02 )	
175	( 2.4400198950e-03 1.6580639235e-03 -1.4795847831e-02 )	( 1.3751783093e-02 1.5639184744e-03 -2.5998830326e-02 )	
176	( 2.4412014785e-03 1.6591354842e-03 -1.4803478210e-02 )	( 1.3786729379e-02 1.5652762480e-03 -2.6060948543e-02 )	
177	( 2.4421566901e-03 1.6603463375e-03 -1.4810431107e-02 )	( 1.3823148625e-02 1.5672589351e-03 -2.6127806685e-02 )	
178	( 2.4429313714e-03 1.6616351494e-03 -1.4816910524e-02 )	( 1.3860809957e-02 1.5695413427e-03 -2.6198742410e-02 )	
179	( 2.4434654350e-03 1.6630680747e-03 -1.4822668395e-02 )	( 1.3899363344e-02 1.5722275514e-03 -2.6272634408e-02 )	
180	( 2.4436346476e-03 1.6644837673e-03 -1.4826954702e-02 )	( 1.3938821174e-02 1.5751262913e-03 -2.6349619724e-02 )	
181	( 2.4433781975e-03 1.6659470547e-03 -1.4829513095e-02 )	( 1.3978781562e-02 1.5782974397e-03 -2.6428282919e-02 )	
182	( 2.4428445325e-03 1.6674057553e-03 -1.4831008174e-02 )	( 1.4019038042e-02 1.5814334155e-03 -2.6508020587e-02 )	
183	( 2.4420115857e-03 1.6689480622e-03 -1.4831399956e-02 )	( 1.4059502617e-02 1.5847412048e-03 -2.6588545298e-02 )	
184	( 2.4409574364e-03 1.6704151755e-03 -1.4830807667e-02 )	( 1.4099505831e-02 1.5877654296e-03 -2.6667756007e-02 )	
185	( 2.4397329127e-03 1.6717808667e-03 -1.4829240686e-02 )	( 1.4138191564e-02 1.5904394136e-03 -2.6742785179e-02 )	
186	( 2.4384897158e-03 1.6728840542e-03 -1.4827118345e-02 )	( 1.4174770536e-02 1.5922978572e-03 -2.6811276467e-02 )	
