# y+ ()          
# Time           	patch            	min              	max              	average          
35               	e423_0	4.1867815016e-01	1.0165299580e+02	4.8432025979e+00
36               	Bottom	5.8511493786e+00	4.6963643108e+01	3.1961200690e+01
36               	Top	7.7195762785e+00	4.4452598596e+01	3.0324551127e+01
36               	e423_0	3.5338281487e-01	1.0137047147e+02	4.8242514555e+00
37               	Bottom	7.7532631401e+00	4.8313423379e+01	3.1871869034e+01
37               	Top	2.8257090602e+00	4.4911232324e+01	3.0377865265e+01
37               	e423_0	2.6758977870e-01	1.0108256982e+02	4.8101669561e+00
38               	Bottom	4.2098866588e+00	4.8795415327e+01	3.1510469024e+01
38               	Top	6.8064430098e+00	4.5797117216e+01	3.0577622191e+01
38               	e423_0	3.1302810984e-01	1.0079015971e+02	4.7857583450e+00
39               	Bottom	7.8329896759e+00	4.8544159386e+01	3.1359504619e+01
39               	Top	3.7375325560e+00	4.6652651012e+01	3.0636301880e+01
39               	e423_0	3.4057321021e-01	1.0049187849e+02	4.7690441193e+00
40               	Bottom	7.5954225168e+00	4.8334866040e+01	3.0968151904e+01
40               	Top	6.6876391865e+00	4.7475723770e+01	3.0791730524e+01
40               	e423_0	3.0127078676e-01	1.0018783836e+02	4.7433793512e+00
41               	Bottom	4.6697495091e+00	4.7585829037e+01	3.0516717951e+01
41               	Top	2.9031734841e+00	4.8264995210e+01	3.0803046387e+01
41               	e423_0	4.2798949046e-01	9.9877252936e+01	4.7264243165e+00
42               	Bottom	4.0515671372e+00	4.6383666342e+01	3.0300838714e+01
42               	Top	7.2044861826e+00	4.9024846732e+01	3.0951106039e+01
42               	e423_0	2.8277591098e-01	9.9558826317e+01	4.6970442446e+00
43               	Bottom	5.0266072622e+00	4.6877599286e+01	3.0084094754e+01
43               	Top	3.0266046555e+00	4.9762330244e+01	3.0955733922e+01
43               	e423_0	1.9444307731e-01	9.9230953632e+01	4.6727952339e+00
44               	Bottom	4.9538042995e+00	4.7516853842e+01	2.9881979790e+01
44               	Top	5.0425405076e+00	5.0506486176e+01	3.1071672312e+01
44               	e423_0	3.1103023178e-01	9.8895049349e+01	4.6660410172e+00
45               	Bottom	4.9330744677e+00	4.8154952281e+01	2.9752259078e+01
45               	Top	6.4092948236e+00	5.1251760426e+01	3.1174279858e+01
45               	e423_0	4.5390760638e-01	9.8550391883e+01	4.6620606513e+00
46               	Bottom	5.3531102587e+00	4.8808115208e+01	2.9701951193e+01
46               	Top	3.8537779341e+00	5.1973916569e+01	3.1246805351e+01
46               	e423_0	7.8435786372e-02	9.8196586307e+01	4.6477806437e+00
47               	Bottom	5.1572276186e+00	4.9467932017e+01	2.9725501410e+01
47               	Top	1.5017356794e+00	5.2671884839e+01	3.1320485841e+01
47               	e423_0	5.0780556532e-01	9.7835182395e+01	4.6433613529e+00
48               	Bottom	3.1105238974e+00	5.0121448745e+01	2.9807565898e+01
48               	Top	3.4736824342e+00	5.3348331915e+01	3.1515198313e+01
48               	e423_0	1.5431791082e-01	9.7466456636e+01	4.6212123221e+00
49               	Bottom	1.0431639068e+00	5.0745582323e+01	2.9930482252e+01
49               	Top	4.2974748262e+00	5.4000375177e+01	3.1706794823e+01
49               	e423_0	4.0074461590e-01	9.7091565302e+01	4.6085854626e+00
50               	Bottom	3.0569888134e+00	5.1335707773e+01	3.0169764868e+01
50               	Top	4.9692196267e+00	5.4637295646e+01	3.1921781352e+01
50               	e423_0	2.6846796877e-01	9.6711377995e+01	4.5903580742e+00
51               	Bottom	4.4067915465e+00	5.1892878642e+01	3.0377723457e+01
51               	Top	5.6278672187e+00	5.5260840350e+01	3.2150246936e+01
51               	e423_0	1.2483488215e-01	9.6328828004e+01	4.5823720826e+00
52               	Bottom	3.0494767416e+00	5.2421200640e+01	3.0533363693e+01
52               	Top	6.0259032878e+00	5.5869112270e+01	3.2383038468e+01
52               	e423_0	2.7160868291e-01	9.5946041122e+01	4.5719178160e+00
53               	Bottom	3.9003285717e+00	5.2923324585e+01	3.0800019040e+01
53               	Top	5.6457360568e+00	5.6465260471e+01	3.2621639064e+01
53               	e423_0	3.3594898499e-01	9.5562899508e+01	4.5665165635e+00
54               	Bottom	5.8543452832e+00	5.3404009684e+01	3.1019882382e+01
54               	Top	5.1830753932e+00	5.7043687903e+01	3.2865586408e+01
54               	e423_0	3.9961259795e-01	9.5180729765e+01	4.5516810003e+00
55               	Bottom	4.5890195535e+00	5.3863514336e+01	3.1128528597e+01
55               	Top	4.6667993947e+00	5.7603940768e+01	3.3116518306e+01
55               	e423_0	3.5345071517e-01	9.4799563144e+01	4.5388995714e+00
56               	Bottom	3.9555771279e+00	5.4293625303e+01	3.1173251465e+01
56               	Top	4.2133466995e+00	5.8146448264e+01	3.3380037756e+01
56               	e423_0	6.0434810321e-01	9.4419685092e+01	4.5151408812e+00
57               	Bottom	7.4297598748e+00	5.4685410732e+01	3.1460010597e+01
57               	Top	3.8403536759e+00	5.8672784128e+01	3.3659928234e+01
57               	e423_0	3.0633038208e-01	9.4042808008e+01	4.4920987951e+00
58               	Bottom	6.3409584213e+00	5.5045850768e+01	3.1693376712e+01
58               	Top	3.4406792331e+00	5.9185751369e+01	3.3950971859e+01
58               	e423_0	3.7853603311e-01	9.3670502644e+01	4.4681960859e+00
59               	Bottom	2.6305269551e+00	5.5375054986e+01	3.1832747870e+01
59               	Top	3.0747985239e+00	5.9680508992e+01	3.4254364333e+01
59               	e423_0	2.7386642508e-01	9.3302912570e+01	4.4492981775e+00
60               	Bottom	5.1158907683e+00	5.5681213003e+01	3.2079793807e+01
60               	Top	3.0514637563e+00	6.0168216399e+01	3.4578422545e+01
60               	e423_0	5.3283038285e-01	9.2944283244e+01	4.4239652660e+00
61               	Bottom	7.4915174411e+00	5.6011013621e+01	3.2277194642e+01
61               	Top	3.1047268744e+00	6.0646174174e+01	3.4925047489e+01
61               	e423_0	3.1096492406e-01	9.2591147922e+01	4.4017111938e+00
62               	Bottom	5.4731656035e+00	5.6423467786e+01	3.2398181769e+01
62               	Top	2.5523474144e+00	6.1108862384e+01	3.5276200057e+01
62               	e423_0	4.1279832410e-01	9.2242535384e+01	4.3782645608e+00
63               	Bottom	1.8339330324e+00	5.6899314454e+01	3.2450806861e+01
63               	Top	1.0191714952e+00	6.1562047373e+01	3.5610190218e+01
63               	e423_0	1.9992785683e-01	9.1897115426e+01	4.3553275017e+00
64               	Bottom	5.7958163846e+00	5.7424641710e+01	3.2660665041e+01
64               	Top	3.5654194552e+00	6.2034141278e+01	3.6049612525e+01
64               	e423_0	2.7451950167e-01	9.1557453419e+01	4.3242569015e+00
65               	Bottom	3.6548479110e+00	5.7965547532e+01	3.2775309596e+01
65               	Top	5.3345945928e+00	6.2500849269e+01	3.6464508104e+01
65               	e423_0	3.9432957047e-01	9.1221316385e+01	4.3112307300e+00
66               	Bottom	3.9580536264e+00	5.8488926782e+01	3.2931593170e+01
66               	Top	6.9513658576e+00	6.2962522754e+01	3.6863568502e+01
66               	e423_0	2.4756408293e-01	9.0888730877e+01	4.2956866950e+00
67               	Bottom	2.6562711955e+00	5.8975979650e+01	3.3088501349e+01
67               	Top	7.8384753134e+00	6.3417204754e+01	3.7243022574e+01
67               	e423_0	5.0127223080e-01	9.0559222896e+01	4.2976314072e+00
68               	Bottom	4.3559015482e+00	5.9422471589e+01	3.3315974381e+01
68               	Top	6.5039521652e+00	6.3868568929e+01	3.7598085180e+01
68               	e423_0	4.1345447743e-01	9.0230822135e+01	4.2923122238e+00
69               	Bottom	2.1804534401e+00	5.9836551899e+01	3.3515717753e+01
69               	Top	4.5587722954e+00	6.4319042058e+01	3.7919407654e+01
69               	e423_0	3.1424832063e-01	8.9902493037e+01	4.2919475956e+00
70               	Bottom	1.7618234708e+00	6.0237135706e+01	3.3775010585e+01
70               	Top	2.3120175588e+00	6.4761654655e+01	3.8211367415e+01
70               	e423_0	1.6660106858e-01	8.9573669226e+01	4.2863580573e+00
71               	Bottom	4.0431581169e+00	6.0634766771e+01	3.4106277878e+01
71               	Top	6.0490621204e+00	6.5200782179e+01	3.8630002298e+01
71               	e423_0	2.0457562686e-01	8.9238297476e+01	4.2815756025e+00
72               	Bottom	4.2634100226e+00	6.1038143213e+01	3.4390609826e+01
72               	Top	8.3945777303e+00	6.5633546210e+01	3.8985150068e+01
72               	e423_0	3.3368356369e-01	8.8896340436e+01	4.2754515179e+00
73               	Bottom	2.6165355880e+00	6.1448257617e+01	3.4611740842e+01
73               	Top	7.3602024978e+00	6.6063039938e+01	3.9294832154e+01
73               	e423_0	4.2659502349e-01	8.8544542550e+01	4.2724560325e+00
74               	Bottom	2.5851901611e+00	6.1862956729e+01	3.4843301766e+01
74               	Top	4.7103257223e+00	6.6487556249e+01	3.9550436798e+01
74               	e423_0	3.6250541576e-01	8.8182260494e+01	4.2607496011e+00
75               	Bottom	4.4542454275e+00	6.2275709394e+01	3.5098069592e+01
75               	Top	3.5119258565e+00	6.6911108034e+01	3.9808799517e+01
75               	e423_0	2.2498904142e-01	8.7806431423e+01	4.2497167002e+00
76               	Bottom	5.6205992292e+00	6.2682361692e+01	3.5319590930e+01
76               	Top	6.9763695231e+00	6.7333246957e+01	4.0147310791e+01
76               	e423_0	1.9147434680e-01	8.7415946341e+01	4.2405674984e+00
77               	Bottom	6.4915922669e+00	6.3078115142e+01	3.5521398359e+01
77               	Top	8.6617795011e+00	6.7756164128e+01	4.0413600333e+01
77               	e423_0	3.6090079761e-01	8.7009100479e+01	4.2328042428e+00
78               	Bottom	7.0152744640e+00	6.3462102868e+01	3.5703566667e+01
78               	Top	6.3033699663e+00	6.8179182709e+01	4.0618709104e+01
78               	e423_0	2.9274813047e-01	8.6586041007e+01	4.2176054199e+00
79               	Bottom	6.8164648372e+00	6.3838699831e+01	3.5862007823e+01
79               	Top	2.3418505083e+00	6.8595432975e+01	4.0746712768e+01
79               	e423_0	1.1011877620e-01	8.6145939654e+01	4.2092192121e+00
80               	Bottom	6.0558534072e+00	6.4205979427e+01	3.5987643887e+01
80               	Top	5.2878989541e+00	6.9009658696e+01	4.1016598643e+01
80               	e423_0	3.4503794202e-01	8.5686170609e+01	4.1988248669e+00
81               	Bottom	5.1821618462e+00	6.4565535539e+01	3.6090478361e+01
81               	Top	7.8646412963e+00	6.9419605293e+01	4.1244934060e+01
81               	e423_0	3.7668971242e-01	8.5210630632e+01	4.1905017404e+00
82               	Bottom	4.3420725544e+00	6.4916343575e+01	3.6177754014e+01
82               	Top	7.6872665781e+00	6.9824399484e+01	4.1422592690e+01
82               	e423_0	2.1809149871e-01	8.4718452333e+01	4.1759810943e+00
83               	Bottom	4.5525377626e+00	6.5258377815e+01	3.6284217205e+01
83               	Top	5.3067143670e+00	7.0219766457e+01	4.1559973781e+01
83               	e423_0	2.1977805340e-01	8.4213320135e+01	4.1698367412e+00
84               	Bottom	3.9251595437e+00	6.5585356691e+01	3.6361163455e+01
84               	Top	3.0107889000e-01	7.0610239731e+01	4.1607878466e+01
84               	e423_0	3.8593342424e-01	8.3693954835e+01	4.1622047318e+00
85               	Bottom	2.1993609603e+00	6.5893936179e+01	3.6396423216e+01
85               	Top	5.1557002252e+00	7.0996393487e+01	4.1884142428e+01
85               	e423_0	2.4388569855e-01	8.3167051410e+01	4.1549255417e+00
86               	Bottom	2.3186093600e+00	6.6186518013e+01	3.6466013870e+01
86               	Top	7.1925000369e+00	7.1369785313e+01	4.2070436862e+01
86               	e423_0	2.0261912651e-01	8.2643467271e+01	4.1386280883e+00
87               	Bottom	2.5861522876e+00	6.6463643509e+01	3.6536658270e+01
87               	Top	8.0677368390e+00	7.1737674011e+01	4.2225600905e+01
87               	e423_0	3.9657338006e-01	8.2117255650e+01	4.1334731891e+00
88               	Bottom	1.7868868751e+00	6.6727717958e+01	3.6577570805e+01
88               	Top	6.4656703489e+00	7.2100581255e+01	4.2358551316e+01
88               	e423_0	3.9893299042e-01	8.1587378174e+01	4.1279977515e+00
89               	Bottom	3.8558093570e+00	6.6984366081e+01	3.6689699227e+01
89               	Top	4.6023063689e+00	7.2461418282e+01	4.2469020040e+01
89               	e423_0	2.3356352915e-01	8.1059288652e+01	4.1206195131e+00
90               	Bottom	4.6738054316e+00	6.7237115282e+01	3.6820284944e+01
90               	Top	1.7161519039e+00	7.2835346519e+01	4.2545981346e+01
90               	e423_0	1.8214482110e-01	8.0529623994e+01	4.1116456499e+00
91               	Bottom	3.7559300589e+00	6.7485426164e+01	3.6955644974e+01
91               	Top	3.6174184638e+00	7.3204462883e+01	4.2735450881e+01
91               	e423_0	2.4564535433e-01	7.9997046570e+01	4.1075346608e+00
92               	Bottom	2.7323043706e+00	6.7731104139e+01	3.7095917771e+01
92               	Top	5.2519099902e+00	7.3567885662e+01	4.2913744604e+01
92               	e423_0	4.2865902571e-01	7.9466429675e+01	4.0963986667e+00
93               	Bottom	1.4497098095e+00	6.7977213580e+01	3.7232914141e+01
93               	Top	6.2712203295e+00	7.3924150154e+01	4.3073879775e+01
93               	e423_0	2.6908038334e-01	7.8937370969e+01	4.0860471831e+00
94               	Bottom	1.4085475126e+00	6.8226381676e+01	3.7409470619e+01
94               	Top	6.9534978487e+00	7.4276168733e+01	4.3224612415e+01
94               	e423_0	2.3177339600e-01	7.8407671880e+01	4.0740868915e+00
95               	Bottom	2.1991339324e+00	6.8481909131e+01	3.7620699809e+01
95               	Top	7.4499642917e+00	7.4624578892e+01	4.3371263529e+01
95               	e423_0	1.5794013862e-01	7.7879973932e+01	4.0729859467e+00
96               	Bottom	2.5123467598e+00	6.8746437645e+01	3.7833537192e+01
96               	Top	7.3636759767e+00	7.4968738381e+01	4.3517472676e+01
96               	e423_0	3.2168267240e-01	7.7360469554e+01	4.0661546663e+00
97               	Bottom	2.4881016706e+00	6.9017379467e+01	3.8051013445e+01
97               	Top	6.9848804853e+00	7.5308875474e+01	4.3665823169e+01
97               	e423_0	4.5035816920e-01	7.6846959567e+01	4.0591274723e+00
98               	Bottom	2.0785722242e+00	6.9288519379e+01	3.8270777600e+01
98               	Top	6.6993459450e+00	7.5645727426e+01	4.3817221244e+01
98               	e423_0	4.7094133764e-01	7.6339594519e+01	4.0450242160e+00
99               	Bottom	8.3691594983e-01	6.9554358249e+01	3.8476047942e+01
99               	Top	6.4867339307e+00	7.5977730826e+01	4.3973533420e+01
99               	e423_0	4.2607987253e-01	7.5840752460e+01	4.0385899567e+00
100              	Bottom	2.1392748911e+00	6.9810199892e+01	3.8746603733e+01
100              	Top	6.3693251194e+00	7.6303891390e+01	4.4135423688e+01
100              	e423_0	2.2123121322e-01	7.5350290351e+01	4.0263642673e+00
101              	Bottom	3.3407043314e+00	7.0056004869e+01	3.9010595136e+01
101              	Top	6.3689507095e+00	7.6621382360e+01	4.4304650085e+01
101              	e423_0	3.1603929532e-01	7.4868849470e+01	4.0153451878e+00
102              	Bottom	4.3049280521e+00	7.0300822135e+01	3.9268426841e+01
102              	Top	6.4718303511e+00	7.6935606409e+01	4.4481291266e+01
102              	e423_0	5.1521845175e-01	7.4395408814e+01	4.0051035285e+00
103              	Bottom	5.1493741407e+00	7.0532406214e+01	3.9526910573e+01
103              	Top	6.6472984210e+00	7.7243365402e+01	4.4665596570e+01
103              	e423_0	4.6757563308e-01	7.3933841435e+01	3.9969118470e+00
104              	Bottom	5.9357252436e+00	7.0753579151e+01	3.9782984033e+01
104              	Top	6.8587401796e+00	7.7541718455e+01	4.4857759923e+01
104              	e423_0	1.6321939760e-01	7.3493871432e+01	3.9815760773e+00
105              	Bottom	6.7014614022e+00	7.0965615357e+01	4.0034517497e+01
105              	Top	7.0866389027e+00	7.7831293165e+01	4.5057068136e+01
105              	e423_0	4.3702850273e-01	7.3065097940e+01	3.9676054273e+00
106              	Bottom	7.4657744818e+00	7.1168990119e+01	4.0285352673e+01
106              	Top	7.3139435703e+00	7.8113848926e+01	4.5262715699e+01
106              	e423_0	4.5994223297e-01	7.2646623747e+01	3.9675673614e+00
107              	Bottom	8.2418105425e+00	7.1365368636e+01	4.0536277907e+01
107              	Top	7.5294584757e+00	7.8391381951e+01	4.5474661090e+01
107              	e423_0	4.5408276054e-02	7.2242917980e+01	3.9657510484e+00
108              	Bottom	8.9970654444e+00	7.1557072963e+01	4.0779891382e+01
108              	Top	7.7155519038e+00	7.8659065157e+01	4.5692840732e+01
108              	e423_0	4.7182422883e-01	7.1845243112e+01	3.9483665608e+00
109              	Bottom	9.7192251338e+00	7.1744957871e+01	4.1016891441e+01
109              	Top	7.7375914637e+00	7.8919726583e+01	4.5916117618e+01
109              	e423_0	1.5985362164e-01	7.1459009864e+01	3.9400346126e+00
110              	Bottom	1.0400725328e+01	7.1927941901e+01	4.1252370937e+01
110              	Top	7.7807721948e+00	7.9174939051e+01	4.6142973755e+01
110              	e423_0	2.4294009470e-01	7.1089118764e+01	3.9341561160e+00
111              	Bottom	1.1069040465e+01	7.2107610444e+01	4.1485659374e+01
111              	Top	7.8938561913e+00	7.9424519573e+01	4.6372359615e+01
111              	e423_0	5.3385479500e-01	7.0733757265e+01	3.9413321067e+00
112              	Bottom	1.1560460682e+01	7.2285032989e+01	4.1711394508e+01
112              	Top	7.9299373262e+00	7.9665056571e+01	4.6603880037e+01
112              	e423_0	3.6039100175e-01	7.0388069237e+01	3.9294697027e+00
113              	Bottom	1.1376318378e+01	7.2461446996e+01	4.1929213184e+01
113              	Top	7.7915909774e+00	7.9900607393e+01	4.6835931160e+01
113              	e423_0	1.1998959285e-01	7.0056189362e+01	3.9351163625e+00
114              	Bottom	1.1404485408e+01	7.2634694182e+01	4.2141886471e+01
114              	Top	7.5442847011e+00	8.0129719551e+01	4.7066209785e+01
114              	e423_0	2.9983850896e-01	6.9728820117e+01	3.9187350371e+00
115              	Bottom	1.1267707666e+01	7.2805872937e+01	4.2345171363e+01
115              	Top	7.1685806941e+00	8.0351966736e+01	4.7293199892e+01
115              	e423_0	3.3910297359e-01	6.9414869998e+01	3.9178526730e+00
116              	Bottom	1.0953815039e+01	7.2977685662e+01	4.2536863033e+01
116              	Top	6.6577169180e+00	8.0568307552e+01	4.7515310927e+01
116              	e423_0	3.0794125694e-01	6.9120209759e+01	3.9290043267e+00
117              	Bottom	1.0629109836e+01	7.3147748959e+01	4.2717551966e+01
117              	Top	5.9436898836e+00	8.0778036149e+01	4.7729123589e+01
117              	e423_0	5.6018304158e-01	6.8831770280e+01	3.9249222848e+00
118              	Bottom	1.0499469251e+01	7.3315813184e+01	4.2891262381e+01
118              	Top	4.9621386522e+00	8.0986653696e+01	4.7930244803e+01
118              	e423_0	3.4179454586e-01	6.8559172402e+01	3.9313419201e+00
119              	Bottom	1.0077672954e+01	7.3482639638e+01	4.3053933952e+01
119              	Top	3.6006491382e+00	8.1208002737e+01	4.8115669059e+01
119              	e423_0	6.7051633622e-02	6.8296958591e+01	3.9189020227e+00
120              	Bottom	9.4885984180e+00	7.3648478514e+01	4.3206203054e+01
